CustomerID,Gender,Age,AnnualIncome_k,PurchaseFrequency,AverageOrderValue,WebsiteVisitsPerMonth,DiscountUsagePct,SpendingScore
1060,Male,18,38.3,3.0,59.5,15.0,77.0,54.4
1061,Female,26,92.3,6.3,89.88,21.1,44.0,78.7
1062,Female,38,84.6,4.9,107.49,16.5,36.2,61.8
1063,Female,33,67.9,3.9,48.39,20.1,45.6,64.4
1064,Female,32,43.7,5.3,21.58,13.0,61.9,48.6
1065,Female,33,40.9,2.8,26.69,10.5,54.1,37.3
1066,Female,37,49.9,1.0,62.32,12.4,65.4,69.8
1067,Female,24,80.2,3.5,79.09,27.7,56.4,80.9
1068,Male,43,38.2,3.6,44.67,3.9,75.2,32.5
1069,Male,42,77.3,4.7,48.03,19.8,73.3,68.4
1070,Male,39,30.2,1.0,51.43,3.2,78.2,27.0
1071,Male,41,59.3,2.5,34.5,14.6,42.3,32.4
1072,Male,38,68.1,3.1,83.13,14.0,40.1,70.8
1073,Female,57,133.5,5.2,156.21,13.6,39.0,49.6
1074,Male,34,26.4,1.0,41.76,13.1,56.7,52.4
1075,Male,32,106.2,4.5,97.53,18.8,26.2,69.3
1076,Male,27,69.2,3.2,54.11,5.8,45.1,56.5
1077,Male,24,76.5,5.7,35.14,21.4,42.4,73.7
1078,Female,21,68.3,5.6,51.55,23.4,41.0,74.3
1079,Female,25,77.5,4.4,48.7,24.8,44.6,53.0
1080,Female,34,60.7,3.2,31.41,17.1,72.6,65.1
1081,Female,39,105.7,5.4,117.71,20.9,47.4,73.7
1082,Male,36,52.2,2.2,56.84,20.9,94.4,30.1
1083,Female,27,96.7,3.5,87.69,28.0,47.4,67.3
1084,Male,45,47.0,1.6,42.99,19.3,55.6,63.6
1085,Male,43,63.3,2.7,56.03,10.9,55.7,76.3
1086,Male,33,35.0,1.2,58.11,13.2,65.0,53.0
1087,Female,28,77.7,4.8,67.92,19.5,56.3,47.2
1088,Female,41,105.5,6.3,96.13,11.6,75.9,80.1
1089,Male,37,62.8,1.4,55.29,17.9,42.2,63.7
1090,Female,19,59.5,4.1,50.52,26.5,65.9,71.5
1091,Male,34,33.8,2.5,14.65,15.3,64.8,55.5
1092,Female,38,58.6,4.1,20.49,22.4,32.5,59.1
1093,Male,25,20.4,2.6,26.55,11.4,75.2,41.2
1094,Male,37,39.4,1.0,44.63,12.4,79.7,32.9
1095,Male,19,71.4,2.6,41.26,18.5,37.1,33.8
1096,Female,50,101.9,4.9,83.61,16.1,46.9,71.1
1097,Male,49,143.7,7.8,112.37,20.4,10.5,88.7
1098,Male,32,48.6,1.0,10.78,20.2,38.8,55.4
1099,Male,39,105.2,5.7,69.91,27.5,60.3,52.3
1100,Female,18,71.8,6.3,72.0,11.7,42.8,78.7
1101,Female,22,60.8,3.8,64.49,20.1,36.5,90.4
1102,Female,32,77.1,5.2,47.35,16.8,54.0,65.3
1103,Male,23,66.7,3.2,64.21,17.7,43.9,59.3
1104,Female,43,68.1,3.6,80.67,18.5,47.4,59.0
1105,Female,57,53.6,1.0,66.83,19.4,71.2,70.5
1106,Female,22,25.9,1.0,33.12,11.5,44.4,27.2
1107,Male,26,21.8,4.0,23.75,17.7,49.9,47.9
1108,Male,38,83.3,3.0,60.82,19.5,52.2,48.5
1109,Male,53,57.3,2.5,63.67,18.0,73.2,37.0
1110,Female,22,48.3,1.6,52.91,9.6,74.8,50.7
1111,Female,38,65.2,1.7,71.71,26.6,44.4,72.1
1112,Male,55,87.3,3.9,77.12,20.8,65.5,84.4
1113,Male,18,70.1,3.4,78.3,20.0,38.4,70.2
1114,Female,21,46.6,4.2,49.99,5.6,83.9,50.0
1115,Male,30,99.3,5.9,96.67,15.8,27.7,100.0
1116,Female,29,109.2,6.1,104.65,27.3,62.0,71.5
1117,Female,44,78.8,4.5,54.74,18.9,42.1,50.8
1118,Female,38,92.3,7.1,45.45,9.5,77.8,44.0
1119,Male,18,99.8,3.9,110.65,25.2,51.6,95.7
1120,Female,41,96.6,4.8,85.41,16.9,31.8,81.6
1121,Female,29,82.2,6.4,40.57,24.9,41.0,100.0
1122,Female,49,81.8,6.0,58.32,17.4,63.6,40.3
1123,Male,28,79.6,2.5,83.63,18.6,65.1,83.7
1124,Male,28,34.3,2.5,35.26,18.0,59.6,47.0
1125,Male,41,84.6,6.5,63.77,13.7,50.7,77.9
1126,Female,43,27.0,3.1,60.77,6.3,76.1,14.5
1127,Male,40,42.8,3.3,26.97,12.2,62.3,68.1
1128,Male,18,101.5,5.3,69.61,24.3,22.9,89.5
1129,Male,41,88.5,4.0,79.33,12.0,36.8,62.3
1130,Female,24,106.6,6.1,94.32,12.5,45.5,88.5
1131,Male,38,57.4,3.2,64.24,19.0,74.6,40.2
1132,Female,19,32.7,3.1,55.66,8.9,83.9,40.9
1133,Female,40,58.3,3.7,59.47,13.0,68.1,45.2
1134,Male,26,67.9,3.2,70.94,6.9,56.2,31.8
1135,Female,21,67.2,5.1,57.01,12.7,62.6,77.3
1136,Male,43,96.7,9.2,81.98,19.6,37.3,91.8
1137,Female,38,54.9,1.0,55.62,19.2,54.7,36.6
1138,Female,28,74.9,4.9,70.56,13.1,38.1,69.5
1139,Female,51,37.3,1.4,56.15,20.8,44.6,33.1
1140,Male,30,77.6,5.3,78.43,13.9,55.1,70.1
1141,Female,35,65.1,4.0,61.11,12.4,56.8,47.4
1142,Female,38,44.0,4.2,32.04,21.0,70.0,35.5
1143,Female,28,58.4,5.6,57.18,16.1,62.8,75.4
1144,Female,40,59.8,3.9,56.37,12.4,59.7,52.1
1145,Female,29,57.4,5.5,58.79,14.1,63.3,89.1
1146,Male,30,114.6,2.2,132.21,28.5,40.2,73.5
1147,Male,50,62.2,5.8,49.0,22.8,63.1,39.7
1148,Female,24,58.2,4.5,63.43,10.9,43.2,77.5
1149,Male,18,15.0,4.2,46.98,9.6,69.5,55.1
1150,Male,53,40.0,1.0,45.76,13.3,73.0,47.6
1151,Female,63,57.6,1.7,97.52,10.0,50.0,58.4
1152,Female,31,45.8,3.5,40.97,13.2,59.0,40.8
1153,Male,18,103.7,5.7,91.24,20.5,32.4,77.3
1154,Female,32,60.4,4.2,42.88,20.9,46.8,54.0
1155,Male,32,101.1,6.9,77.39,26.2,27.7,56.1
1156,Female,33,66.7,1.4,65.84,14.4,72.3,49.7
1157,Male,23,66.0,5.7,76.13,14.9,67.9,84.3
1158,Female,41,62.5,3.7,64.37,18.8,63.6,56.9
1159,Female,41,65.1,3.4,82.98,12.9,84.5,33.5
1160,Female,19,113.1,3.8,89.81,24.5,36.7,55.6
1161,Male,43,15.0,2.7,21.77,9.4,100.0,59.3
1162,Female,58,15.0,1.0,76.42,5.0,66.5,24.8
1163,Male,37,49.8,4.3,57.47,9.2,61.9,41.6
1164,Male,31,65.4,1.8,47.56,23.1,47.3,50.5
1165,Female,33,84.3,4.7,60.3,17.3,54.5,43.3
1166,Male,42,78.2,4.0,51.86,25.6,64.3,80.3
1167,Female,18,54.2,5.7,70.09,11.9,52.4,56.0
1168,Female,37,93.5,4.6,72.22,20.7,73.8,87.6
1169,Male,31,93.8,4.0,81.26,31.2,49.8,69.1
1170,Female,55,70.2,2.8,62.49,11.1,59.8,71.0
1171,Male,33,92.0,6.8,90.97,9.6,33.3,75.6
1172,Female,53,72.6,4.5,49.95,23.1,61.1,66.8
1173,Male,23,49.3,3.1,30.68,9.8,54.1,64.8
1174,Female,41,84.5,4.1,76.96,18.0,40.9,71.0
1175,Male,39,68.1,1.6,73.08,13.2,42.2,57.6
1176,Male,25,65.0,4.7,66.24,17.1,92.6,58.0
1177,Male,37,106.2,2.7,72.46,16.0,40.0,97.0
1178,Female,48,15.0,3.0,39.94,8.9,46.6,19.4
1179,Female,31,25.3,2.8,21.06,13.3,52.9,42.3
1180,Female,18,31.8,6.7,29.28,6.8,59.0,55.9
1181,Female,35,54.8,1.9,36.63,11.1,64.8,55.7
1182,Female,25,57.9,3.7,79.06,13.2,62.6,50.9
1183,Female,31,22.8,5.2,44.22,3.6,74.1,50.2
1184,Male,34,37.4,4.7,53.2,10.4,51.1,46.1
1185,Female,18,40.9,2.4,67.03,13.5,62.6,27.9
1186,Female,18,133.8,7.1,155.6,22.1,21.1,92.2
1187,Male,40,115.4,5.5,62.24,20.5,32.9,58.7
1188,Male,29,53.5,4.1,39.48,14.3,42.2,29.0
1189,Female,18,54.8,2.9,42.53,11.3,36.2,59.4
1190,Male,44,32.8,2.4,24.01,15.4,79.4,47.0
1191,Female,38,15.0,1.0,10.0,17.0,77.3,41.1
1192,Male,27,61.7,4.2,52.71,13.1,68.3,67.3
1193,Male,21,37.1,3.9,20.22,14.9,59.5,22.8
1194,Female,44,62.6,3.2,64.72,14.3,67.6,31.0
1195,Male,39,20.2,1.0,32.06,12.3,39.4,64.2
1196,Male,61,43.7,4.0,55.06,21.1,76.2,24.5
1197,Female,40,69.2,4.5,72.12,18.8,56.4,66.5
1198,Female,39,75.3,3.1,77.8,8.2,61.4,47.2
1199,Male,33,76.7,3.9,61.13,19.5,56.5,62.6
1200,Male,44,28.0,1.0,74.38,17.5,49.8,26.1
1201,Female,42,88.9,3.0,80.0,17.6,26.6,69.4
1202,Female,49,42.6,2.0,12.17,18.1,51.0,42.7
1203,Female,29,82.7,6.5,53.71,14.5,57.1,62.6
1204,Male,30,64.7,3.1,28.73,8.3,63.7,41.2
1205,Male,30,26.5,3.6,35.54,11.9,42.4,48.4
1206,Male,44,56.1,2.6,52.27,5.9,42.9,30.0
1207,Male,51,75.2,4.2,58.45,15.8,43.0,61.5
1208,Female,30,82.2,4.4,107.63,24.3,43.6,100.0
1209,Male,30,61.1,5.2,67.6,5.8,33.8,79.5
1210,Female,38,107.9,4.5,101.2,14.6,22.4,82.4
1211,Female,32,93.2,2.6,61.82,14.0,34.2,64.1
1212,Female,45,57.8,1.3,37.59,14.6,58.6,17.1
1213,Male,18,86.0,4.3,74.56,16.5,28.5,50.8
1214,Female,26,119.1,4.1,98.53,29.3,37.4,98.3
1215,Female,26,119.9,6.7,62.52,27.2,54.8,71.9
1216,Female,18,30.6,2.4,34.64,14.1,40.5,37.5
1217,Male,24,39.1,6.8,43.67,13.4,55.7,53.9
1218,Male,25,106.6,3.0,83.42,22.8,57.5,57.2
1219,Female,33,35.4,3.2,26.37,7.9,54.8,27.4
1220,Male,47,28.0,1.0,26.49,15.6,56.4,33.8
1221,Male,32,51.4,2.8,48.23,8.6,74.4,37.7
1222,Female,24,76.8,4.8,69.55,21.4,44.8,55.0
1223,Female,34,62.1,1.0,69.25,21.4,71.1,39.3
1224,Female,47,46.8,3.3,67.88,14.7,66.8,52.9
1225,Male,24,46.1,6.4,42.67,12.7,51.9,54.6
1226,Female,25,45.1,2.8,39.1,15.4,64.7,48.6
1227,Male,41,40.4,3.3,52.14,2.0,65.9,53.9
1228,Female,33,128.9,7.7,112.78,25.0,53.0,84.0
1229,Female,42,73.3,3.8,57.83,16.2,44.7,52.7
1230,Male,35,89.8,3.9,90.6,18.5,48.4,72.4
1231,Male,43,51.3,1.0,68.98,17.7,57.7,54.1
1232,Male,24,59.8,5.0,80.12,14.8,64.2,58.3
1233,Female,35,45.0,3.0,79.26,7.7,43.6,49.3
1234,Female,33,15.0,1.0,12.15,9.1,81.5,23.2
1235,Female,22,26.4,3.1,35.41,11.5,68.7,33.4
1236,Female,18,15.0,1.7,27.95,10.4,44.2,52.9
1237,Female,43,15.0,1.2,25.98,10.6,85.8,38.4
1238,Female,31,31.5,3.7,26.79,17.0,95.3,52.8
1239,Male,24,102.1,3.5,57.62,14.8,58.1,77.0
1240,Male,34,63.8,5.5,61.14,16.5,75.6,60.0
1241,Female,47,101.1,2.8,69.88,26.6,48.1,73.6
1242,Female,18,76.5,3.7,69.27,8.5,23.7,80.3
1243,Male,19,86.9,8.0,60.19,19.3,18.5,90.5
1244,Female,25,39.8,5.0,24.08,9.8,62.6,51.7
1245,Female,51,79.7,4.2,74.02,15.7,43.8,77.5
1246,Female,38,85.4,3.1,76.23,13.7,35.6,64.8
1247,Female,43,48.9,2.3,60.21,13.0,58.3,55.0
1248,Male,22,80.7,4.9,109.8,26.9,57.4,72.6
1249,Male,23,80.9,4.8,75.58,11.4,26.4,71.6
1250,Male,40,49.6,3.1,58.97,8.1,51.9,37.1
1251,Female,36,33.6,2.7,20.44,5.5,84.6,53.8
1252,Female,41,31.8,2.3,15.51,20.5,47.1,82.9
1253,Female,33,67.4,1.9,90.3,13.8,66.1,49.1
1254,Male,38,74.2,3.4,49.61,16.8,44.9,59.0
1255,Male,37,42.8,4.4,27.03,11.1,68.0,42.3
1256,Female,44,65.7,1.6,60.0,11.2,71.6,42.5
1257,Female,44,81.0,4.0,69.03,16.5,62.5,82.4
1258,Male,18,82.3,3.7,55.25,30.2,60.8,58.2
1259,Male,18,108.5,6.0,83.04,28.0,23.3,74.3
1260,Female,46,100.8,4.3,105.65,15.8,63.4,42.2
1261,Male,48,37.0,4.8,27.54,15.7,50.2,32.4
1262,Female,24,112.1,6.6,65.78,17.3,44.5,55.9
1263,Male,18,50.1,1.8,67.53,5.1,59.0,63.3
1264,Male,36,94.3,5.9,88.16,24.4,54.1,100.0
1265,Female,45,66.9,2.6,50.32,21.8,60.1,46.1
1266,Male,55,53.5,2.1,24.3,19.7,47.2,17.5
1267,Male,41,15.0,2.5,14.35,7.5,47.2,48.1
1268,Male,31,60.2,3.1,56.15,14.4,67.7,44.1
1269,Male,25,21.3,4.0,52.83,14.3,66.2,64.5
1270,Male,35,92.1,3.7,59.21,21.0,64.5,61.5
1271,Male,32,107.5,4.5,86.35,18.9,42.3,64.1
1272,Male,24,42.7,2.4,57.91,5.0,36.8,47.5
1273,Male,58,73.5,2.8,22.91,17.4,69.8,61.1
1274,Female,55,44.7,4.3,65.66,18.8,56.5,39.8
1275,Female,47,47.4,3.9,27.53,7.7,65.3,38.8
1276,Male,25,86.7,7.5,80.33,21.6,37.4,70.9
1277,Male,44,63.9,7.0,63.98,17.3,80.3,39.3
1278,Female,42,113.7,3.9,111.43,25.4,29.7,77.2
1279,Female,40,51.5,3.4,61.39,18.5,53.1,22.5
1280,Female,49,93.0,2.8,35.66,15.7,50.7,53.0
1281,Male,42,67.7,2.7,47.88,8.0,38.0,64.5
1282,Male,43,87.3,3.5,77.23,15.8,54.6,65.5
1283,Male,42,52.5,1.7,48.62,18.7,82.4,54.9
1284,Male,39,63.6,2.2,67.94,12.9,47.6,50.9
1285,Female,18,61.8,4.0,72.38,11.9,58.2,79.2
1286,Male,36,41.6,1.2,55.99,3.9,18.8,57.4
1287,Male,29,83.5,6.0,68.42,26.8,47.9,75.5
1288,Male,21,83.2,3.5,38.85,22.1,42.7,81.1
1289,Female,53,81.6,8.2,62.84,21.6,40.3,74.7
1290,Male,54,108.0,4.3,95.69,25.8,62.3,59.1
1291,Female,50,105.6,5.1,67.01,23.6,41.2,47.5
1292,Male,38,54.5,1.5,64.79,13.3,54.4,54.1
1293,Female,50,75.4,6.4,83.36,16.2,48.0,67.5
1294,Male,35,47.5,5.0,51.16,11.6,29.6,68.7
1295,Female,37,65.7,4.3,10.0,29.1,37.1,42.8
1296,Female,23,48.2,1.6,26.32,16.6,70.8,37.4
1297,Female,39,110.4,5.7,123.71,18.9,11.6,81.1
1298,Female,36,75.2,2.5,57.04,19.4,40.1,56.4
1299,Female,21,58.9,6.2,20.57,10.0,47.4,35.0
1300,Female,34,98.4,6.3,104.19,27.3,71.7,78.4
1301,Female,34,15.0,2.3,27.99,6.5,77.9,9.0
1302,Male,55,15.0,1.0,47.64,12.3,61.1,13.0
1303,Female,45,87.3,3.0,79.73,23.8,69.5,79.7
1304,Female,35,66.7,5.0,69.61,17.9,42.5,86.5
1305,Female,38,72.0,5.9,71.33,17.1,67.8,43.2
1306,Female,35,27.9,4.3,48.69,11.4,42.9,39.4
1307,Male,33,64.3,1.5,100.79,15.4,70.0,53.6
1308,Female,23,121.1,6.6,114.19,19.6,32.1,100.0
1309,Male,33,88.1,6.3,46.82,16.3,32.5,62.1
1310,Male,27,69.8,1.8,71.41,23.8,48.3,50.4
1311,Female,21,52.7,3.8,72.8,13.8,59.1,80.3
1312,Male,41,54.0,3.8,74.75,10.6,50.2,44.9
1313,Male,39,15.0,1.6,20.07,7.2,75.4,44.7
1314,Male,18,72.2,1.8,85.9,22.2,40.9,39.4
1315,Male,34,88.7,4.3,92.35,22.0,57.2,63.4
1316,Male,46,20.9,1.6,77.89,13.3,73.3,8.5
1317,Male,47,46.5,2.7,34.72,12.3,59.5,28.1
1318,Female,46,32.6,1.6,30.06,14.8,57.1,50.1
1319,Male,35,38.0,2.3,37.19,9.3,63.0,43.7
1320,Female,26,66.5,4.1,52.4,14.7,60.5,55.9
1321,Female,23,15.0,3.1,11.73,14.6,95.6,30.7
1322,Female,39,82.2,3.9,21.7,22.2,64.4,57.9
1323,Male,39,86.1,3.9,66.14,13.4,64.0,67.1
1324,Female,49,58.0,3.4,62.35,10.7,100.0,63.2
1325,Female,47,15.0,1.0,18.87,10.3,76.0,1.0
1326,Female,34,37.1,3.7,76.95,21.1,68.1,34.4
1327,Female,21,99.5,5.5,82.92,10.4,53.8,78.7
1328,Female,31,15.0,2.3,50.99,11.2,50.8,36.3
1329,Female,37,55.3,5.0,58.65,7.8,50.1,60.5
1330,Male,33,32.0,1.0,53.68,8.7,54.4,44.9
1331,Female,29,87.5,1.9,79.9,16.7,57.2,58.6
1332,Male,38,46.1,3.6,72.6,11.4,56.6,40.6
1333,Female,29,76.3,4.4,68.6,14.5,52.3,59.9
1334,Female,28,80.8,4.9,79.45,17.7,65.3,83.5
1335,Male,38,116.4,4.9,100.25,19.3,54.5,64.3
1336,Female,31,59.3,4.8,51.36,7.8,52.4,56.6
1337,Male,38,75.5,5.6,74.36,21.0,41.8,64.9
1338,Female,38,23.4,3.1,73.43,14.6,81.9,63.1
1339,Male,22,98.3,5.0,77.03,24.0,55.3,70.2
1340,Female,30,43.7,1.0,53.96,5.5,34.5,60.4
1341,Male,51,49.3,4.1,72.69,15.4,55.6,64.4
1342,Female,22,64.4,6.0,80.38,19.1,54.7,63.6
1343,Female,18,21.2,3.8,31.99,5.4,74.1,43.9
1344,Female,18,71.4,3.2,21.51,16.6,63.5,58.7
1345,Female,35,92.1,5.9,87.17,18.5,51.5,65.7
1346,Female,35,73.2,5.5,25.63,26.0,60.7,75.0
1347,Female,34,20.5,4.7,57.78,20.1,65.9,46.2
1348,Male,48,61.5,2.1,61.03,7.1,46.7,51.3
1349,Female,18,85.8,4.7,91.76,30.8,42.3,54.3
1350,Male,39,15.0,3.2,11.51,5.2,67.4,22.0
1351,Female,52,34.9,2.5,12.74,17.1,63.6,69.9
1352,Male,23,89.5,3.4,80.87,23.6,17.8,65.9
1353,Female,31,72.6,4.9,64.59,11.7,45.5,50.8
1354,Female,27,76.5,5.4,58.88,19.6,50.8,87.5
1355,Female,25,117.1,6.1,95.64,21.5,35.3,86.3
1356,Female,31,78.1,4.8,118.58,20.1,46.4,72.8
1357,Female,51,83.4,3.8,87.23,19.2,59.1,55.2
1358,Female,55,140.9,8.3,128.48,30.9,21.8,78.9
1359,Female,31,59.0,2.4,71.54,15.5,30.5,50.8
1360,Female,56,42.7,1.7,72.39,12.3,57.5,17.0
1361,Female,35,77.0,4.3,64.63,22.7,62.5,60.2
1362,Male,54,77.3,5.2,31.26,20.2,79.1,60.9
1363,Male,34,50.3,1.2,47.3,17.7,69.3,75.0
1364,Male,36,36.1,1.0,56.08,9.0,39.4,42.5
1365,Female,39,129.7,3.0,84.85,18.3,34.9,41.3
1366,Male,70,74.2,3.4,63.06,14.1,60.8,45.3
1367,Female,44,44.5,1.3,34.47,10.2,63.1,83.0
1368,Female,27,90.6,4.4,103.93,22.8,54.5,82.2
1369,Male,46,61.9,4.5,71.73,20.3,42.7,40.6
1370,Female,31,57.9,2.8,67.36,14.2,56.1,62.5
1371,Female,30,80.7,4.9,81.64,24.8,55.6,54.4
1372,Male,45,28.8,1.9,36.05,18.3,76.9,16.8
1373,Male,35,74.9,5.3,70.24,18.2,39.4,57.2
1374,Male,38,118.6,6.4,73.76,18.1,35.9,80.0
1375,Male,35,78.1,3.3,29.41,25.2,10.2,32.1
1376,Male,39,54.5,3.2,56.13,14.2,47.9,33.1
1377,Female,40,50.8,4.8,56.85,14.7,50.4,51.6
1378,Male,18,53.5,4.5,74.54,12.7,39.0,53.5
1379,Male,42,57.9,1.4,83.92,10.5,59.3,53.4
1380,Female,24,54.4,4.8,81.62,7.2,54.2,40.1
1381,Female,19,90.7,3.6,58.99,22.0,11.3,81.4
1382,Female,34,16.5,4.3,22.38,6.1,69.2,22.9
1383,Female,36,89.1,6.3,84.56,34.0,34.2,93.4
1384,Female,27,54.4,4.2,98.93,9.1,62.7,30.5
1385,Male,44,75.6,4.3,93.78,10.8,33.5,41.5
1386,Female,20,33.4,2.9,59.86,14.6,60.1,55.4
1387,Female,31,102.2,6.3,77.45,27.9,39.9,100.0
1388,Female,29,99.9,4.7,67.04,20.3,48.9,77.0
1389,Male,34,91.9,5.2,91.94,21.9,49.0,77.0
1390,Female,38,22.6,3.6,12.88,2.0,61.2,40.5
1391,Female,24,88.2,4.1,71.04,15.2,23.5,53.5
1392,Male,43,76.3,3.2,65.53,11.8,30.2,49.2
1393,Female,36,20.1,1.0,59.74,2.0,56.6,17.5
1394,Female,18,64.3,2.7,53.41,16.3,51.5,41.1
1395,Male,18,75.2,1.9,22.97,5.8,39.8,68.8
1396,Female,35,80.6,5.5,79.47,11.1,59.5,48.0
1397,Female,33,70.0,6.8,50.92,13.7,48.3,68.8
1398,Male,34,73.2,6.3,66.35,12.6,37.3,44.4
1399,Female,35,106.3,2.9,85.53,22.7,39.5,73.8
1400,Male,37,99.3,6.1,77.62,21.4,49.1,64.3
1401,Male,45,15.0,4.0,41.98,14.3,72.9,56.9
1402,Female,23,56.1,3.2,26.87,18.5,82.6,61.4
1403,Female,22,60.4,4.2,47.95,21.0,43.2,78.6
1404,Male,23,15.9,1.0,40.65,9.9,63.4,27.4
1405,Female,38,67.6,4.3,50.89,17.6,60.2,58.0
1406,Female,49,100.0,3.2,54.04,22.6,47.0,48.1
1407,Male,30,34.6,3.3,52.52,12.9,53.3,40.5
1408,Female,18,74.4,2.3,86.58,14.9,25.9,59.2
1409,Male,18,39.4,4.2,42.8,11.1,50.2,43.2
1410,Female,26,46.2,5.0,12.73,9.5,41.2,36.8
1411,Female,29,106.4,4.3,99.87,22.9,16.9,52.7
1412,Female,31,49.8,1.8,20.49,13.5,45.3,14.0
1413,Male,35,77.9,1.1,74.19,14.0,35.1,40.5
1414,Female,32,15.0,1.8,11.78,6.5,74.8,46.0
1415,Male,47,117.1,4.6,73.24,16.0,51.8,47.9
1416,Male,28,81.9,2.3,63.28,22.7,35.2,41.8
1417,Male,26,59.9,4.6,53.64,15.6,50.0,86.0
1418,Female,40,81.1,3.7,59.12,13.4,22.9,50.6
1419,Male,18,25.5,1.3,45.17,15.1,53.9,49.2
1420,Female,39,98.1,4.1,73.74,17.0,52.3,76.8
1421,Female,36,55.9,5.2,71.98,7.7,68.8,65.2
1422,Male,33,59.3,4.7,61.61,20.2,44.4,33.9
1423,Male,52,51.2,2.8,38.72,11.5,75.8,40.5
1424,Male,28,48.7,4.4,34.07,11.8,34.3,30.0
1425,Female,58,84.5,2.3,43.27,18.3,33.9,89.4
1426,Female,33,72.2,4.3,70.16,22.4,62.5,36.6
1427,Male,21,83.2,5.1,65.7,18.1,72.4,54.2
1428,Female,36,64.8,3.2,17.42,9.8,61.6,39.4
1429,Male,23,79.4,5.4,59.97,20.2,48.0,46.0
1430,Female,27,53.3,2.5,36.43,12.0,22.8,73.2
1431,Female,39,127.4,6.7,129.17,32.7,8.7,100.0
1432,Female,41,21.1,3.0,10.0,10.5,67.8,30.5
